Plak No;Tarih;Saat;Gün;İşlem;Çıkarılan Süre;Toplam Süre
1;2025-04-19;11:25;Cumartesi;Değiştirildi;14:15;10:23:41
2;2025-04-30;11:06;Çarşamba;Değiştirildi;14:05;10:00:25
3;2025-05-10;11:31;Cumartesi;Değiştirildi;13:18;10:01:16
4;2025-05-20;12:47;Salı;Değiştirildi;17:35;10:00:42
5;2025-05-30;13:29;Cuma;Değiştirildi;11:40;10:00:57
6;2025-06-09;14:26;Pazartesi;Değiştirildi;13:51;09:20:43
7;2025-06-19;11:09;Perşembe;Değiştirildi;15:11;10:05:27
8;2025-06-29;16:36;Pazar;Değiştirildi;14:10;09:16:17
9;2025-07-09;08:53;Çarşamba;Değiştirildi;11:52;10:03:07
10;2025-07-19;12:00;Cumartesi;Değiştirildi;10:44;09:23:01
11;2025-07-29;11:01;Salı;Değiştirildi;14:33;09:23:05
12;2025-08-08;10:06;Cuma;Değiştirildi;23:27;09:23:11
13;2025-08-18;09:17;Pazartesi;Değiştirildi;17:35;10:04:39
14;2025-08-28;13:56;Perşembe;Değiştirildi;18:23;09:21:14
15;2025-09-07;11:10;Pazar;Değiştirildi;02:20;
