Plak No;Gün No;Tarih;Gün;Toplam Süre
1;1;2025-04-19;Cumartesi;00:37
1;2;2025-04-20;Pazar;00:37
1;3;2025-04-21;Pazartesi;00:34
1;4;2025-04-22;Salı;00:24
1;5;2025-04-23;Çarşamba;01:54
1;6;2025-04-24;Perşembe;01:38
1;7;2025-04-25;Cuma;01:35
1;8;2025-04-26;Cumartesi;01:57
1;9;2025-04-27;Pazar;01:37
1;10;2025-04-28;Pazartesi;02:08
1;11;2025-04-29;Salı;01:14
2;12;2025-04-30;Çarşamba;02:08
2;13;2025-05-01;Perşembe;01:29
2;14;2025-05-02;Cuma;01:07
2;15;2025-05-03;Cumartesi;01:42
2;16;2025-05-04;Pazar;01:25
2;17;2025-05-05;Pazartesi;00:48
2;18;2025-05-06;Salı;01:37
2;19;2025-05-07;Çarşamba;02:04
2;20;2025-05-08;Perşembe;00:56
2;21;2025-05-09;Cuma;00:49
3;22;2025-05-10;Cumartesi;01:43
3;23;2025-05-11;Pazar;02:01
3;24;2025-05-12;Pazartesi;00:40
3;25;2025-05-13;Salı;00:36
3;26;2025-05-14;Çarşamba;00:44
3;27;2025-05-15;Perşembe;00:57
3;28;2025-05-16;Cuma;00:52
3;29;2025-05-17;Cumartesi;00:42
3;30;2025-05-18;Pazar;03:23
3;31;2025-05-19;Pazartesi;01:40
4;32;2025-05-20;Salı;02:27
4;33;2025-05-21;Çarşamba;02:19
4;34;2025-05-22;Perşembe;03:39
4;35;2025-05-23;Cuma;01:41
4;36;2025-05-24;Cumartesi;02:16
4;37;2025-05-25;Pazar;02:16
4;38;2025-05-26;Pazartesi;00:41
4;39;2025-05-27;Salı;00:42
4;40;2025-05-28;Çarşamba;01:34
4;41;2025-05-29;Perşembe;00:00
5;42;2025-05-30;Cuma;00:46
5;43;2025-05-31;Cumartesi;01:02
5;44;2025-06-01;Pazar;00:49
5;45;2025-06-02;Pazartesi;01:03
5;46;2025-06-03;Salı;01:15
5;47;2025-06-04;Çarşamba;00:30
5;48;2025-06-05;Perşembe;00:30
5;49;2025-06-06;Cuma;03:05
5;50;2025-06-07;Cumartesi;01:32
5;51;2025-06-08;Pazar;01:08
6;52;2025-06-09;Pazartesi;02:31
6;53;2025-06-10;Salı;01:47
6;54;2025-06-11;Çarşamba;01:03
6;55;2025-06-12;Perşembe;00:30
6;56;2025-06-13;Cuma;01:06
6;57;2025-06-14;Cumartesi;00:58
